Año,Trimestre,Mes,Día,CategoryName,ProductName,Cliente,VENTAS
1996,Qtr 3,julio,25,Beverages,Outback Lager,Blondesddsl père et fils,$240
1996,Qtr 3,julio,26,Dairy Products,Queso Manchego La Pastora,Wartian Herkku,$347
1996,Qtr 3,julio,29,Seafood,Boston Crab Meat,Frankenversand,$735
1996,Qtr 3,julio,29,Beverages,Lakkalikööri,Frankenversand,$184
1996,Qtr 3,julio,29,Dairy Products,Raclette Courdavault,Frankenversand,$2618
1996,Qtr 3,julio,30,Dairy Products,Mozzarella di Giovanni,GROSELLA-Restaurante,$111
1996,Qtr 3,julio,30,Meat/Poultry,Thüringer Rostbratwurst,GROSELLA-Restaurante,$990
1996,Qtr 3,julio,31,Dairy Products,Geitost,White Clover Markets,$114
1996,Qtr 3,julio,31,Dairy Products,Mozzarella di Giovanni,White Clover Markets,$528
1996,Qtr 3,agosto,1,Dairy Products,Geitost,Split Rail Beer & Ale,$48
1996,Qtr 3,agosto,1,Seafood,Inlagd Sill,Wartian Herkku,$456
1996,Qtr 3,agosto,1,Beverages,Ipoh Coffee,Wartian Herkku,$920
1996,Qtr 3,agosto,2,Dairy Products,Gorgonzola Telino,Rattlesnake Canyon Grocery,$400
1996,Qtr 3,agosto,2,Dairy Products,Mozzarella di Giovanni,Rattlesnake Canyon Grocery,$667
1996,Qtr 3,agosto,2,Confections,Sir Rodney's Marmalade,Rattlesnake Canyon Grocery,$389
1996,Qtr 3,agosto,5,Seafood,Boston Crab Meat,QUICK-Stop,$838
1996,Qtr 3,agosto,5,Dairy Products,Geitost,QUICK-Stop,$40
1996,Qtr 3,agosto,5,Dairy Products,Gorgonzola Telino,QUICK-Stop,$143
1996,Qtr 3,agosto,5,Seafood,Ikura,QUICK-Stop,$565
1996,Qtr 3,agosto,5,Beverages,Lakkalikööri,QUICK-Stop,$451
1996,Qtr 3,agosto,6,Dairy Products,Flotemysost,Vins et alcools Chevalier,$344
1996,Qtr 3,agosto,6,Dairy Products,Mozzarella di Giovanni,Vins et alcools Chevalier,$195
1996,Qtr 3,agosto,7,Beverages,Guaraná Fantástica,Magazzini Alimentari Riuniti,$41
1996,Qtr 3,agosto,7,Dairy Products,Raclette Courdavault,Magazzini Alimentari Riuniti,$251
1996,Qtr 3,agosto,8,Seafood,Ikura,Tortuga Restaurante,$372
1996,Qtr 3,agosto,8,Seafood,Konbu,Tortuga Restaurante,$48
1996,Qtr 3,agosto,9,Produce,Rössle Sauerkraut,Morgenstern Gesundkost,$728
1996,Qtr 3,agosto,9,Confections,Tarte au sucre,Morgenstern Gesundkost,$473
1996,Qtr 3,agosto,12,Condiments,Gula Malacca,Berglunds snabbköp,$248
1996,Qtr 3,agosto,12,Dairy Products,Raclette Courdavault,Berglunds snabbköp,$660
1996,Qtr 3,agosto,12,Seafood,Röd Kaviar,Berglunds snabbköp,$300
1996,Qtr 3,agosto,12,Condiments,Vegie-spread,Berglunds snabbköp,$281
1996,Qtr 3,agosto,13,Meat/Poultry,Alice Mutton,Lehmanns Marktstand,$351
1996,Qtr 3,agosto,14,Beverages,Guaraná Fantástica,Berglunds snabbköp,$43
1996,Qtr 3,agosto,14,Beverages,Guaraná Fantástica,Romero y tomillo,$22
1996,Qtr 3,agosto,14,Meat/Poultry,Pâté chinois,Berglunds snabbköp,$384
1996,Qtr 3,agosto,14,Beverages,Rhönbräu Klosterbier,Berglunds snabbköp,$186
1996,Qtr 3,agosto,14,Beverages,Steeleye Stout,Romero y tomillo,$58
1996,Qtr 3,agosto,14,Confections,Teatime Chocolate Biscuits,Romero y tomillo,$7
1996,Qtr 3,agosto,15,Seafood,Nord-Ost Matjeshering,Romero y tomillo,$124
1996,Qtr 3,agosto,15,Grains/Cereals,Ravioli Angelo,Romero y tomillo,$31
1996,Qtr 3,agosto,16,Dairy Products,Camembert Pierrot,LILA-Supermercado,$952
1996,Qtr 3,agosto,16,Condiments,Genen Shouyu,LILA-Supermercado,$248
1996,Qtr 3,agosto,16,Dairy Products,Mozzarella di Giovanni,LILA-Supermercado,$83
1996,Qtr 3,agosto,16,Confections,Teatime Chocolate Biscuits,LILA-Supermercado,$131
1996,Qtr 3,agosto,19,Dairy Products,Camembert Pierrot,Lehmanns Marktstand,$408
1996,Qtr 3,agosto,19,Condiments,Gula Malacca,Lehmanns Marktstand,$326
1996,Qtr 3,agosto,19,Beverages,Laughing Lumberjack Lager,Lehmanns Marktstand,$42
1996,Qtr 3,agosto,19,Confections,Schoggi Schokolade,Lehmanns Marktstand,$395
1996,Qtr 3,agosto,20,Seafood,Boston Crab Meat,QUICK-Stop,$470
1996,Qtr 3,agosto,20,Beverages,Chai,QUICK-Stop,$518
1996,Qtr 3,agosto,20,Meat/Poultry,Perth Pasties,QUICK-Stop,$755
1996,Qtr 3,agosto,21,Beverages,Steeleye Stout,QUICK-Stop,$1440
1996,Qtr 3,agosto,21,Confections,Tarte au sucre,QUICK-Stop,$1576
1996,Qtr 3,agosto,22,Confections,Pavlova,Ricardo Adocicados,$473
1996,Qtr 3,agosto,22,Beverages,Sasquatch Ale,Ricardo Adocicados,$224
1996,Qtr 3,agosto,22,Seafood,Spegesild,Ricardo Adocicados,$122
1996,Qtr 3,agosto,23,Confections,Scottish Longbreads,Reggiani Caseifici,$27
1996,Qtr 3,agosto,23,Meat/Poultry,Tourtière,Reggiani Caseifici,$53
1996,Qtr 3,agosto,26,Condiments,Aniseed Syrup,B's Beverages,$240
1996,Qtr 3,agosto,26,Grains/Cereals,Wimmers gute Semmelknödel,B's Beverages,$239
1996,Qtr 3,agosto,27,Condiments,Chef Anton's Gumbo Mix,Comércio Mineiro,$340
1996,Qtr 3,agosto,27,Condiments,Gula Malacca,Que Delícia,$335
1996,Qtr 3,agosto,27,Seafood,Konbu,Que Delícia,$86
1996,Qtr 3,agosto,27,Produce,Manjimup Dried Apples,Que Delícia,$76
1996,Qtr 3,agosto,27,Confections,Maxilaku,Comércio Mineiro,$240
1996,Qtr 3,agosto,27,Condiments,Original Frankfurter grüne Soße,Comércio Mineiro,$104
1996,Qtr 3,agosto,27,Meat/Poultry,Thüringer Rostbratwurst,Comércio Mineiro,$1485
1996,Qtr 3,agosto,28,Confections,Sir Rodney's Marmalade,Tradição Hipermercados,$1296
1996,Qtr 3,agosto,29,Seafood,Carnarvon Tigers,Tortuga Restaurante,$600
1996,Qtr 3,agosto,29,Beverages,Guaraná Fantástica,Tortuga Restaurante,$36
1996,Qtr 3,agosto,29,Beverages,Rhönbräu Klosterbier,Tortuga Restaurante,$37
1996,Qtr 3,agosto,29,Condiments,Vegie-spread,Tortuga Restaurante,$176
1996,Qtr 3,agosto,30,Meat/Poultry,Alice Mutton,Rattlesnake Canyon Grocery,$468
1996,Qtr 3,agosto,30,Dairy Products,Camembert Pierrot,Rattlesnake Canyon Grocery,$571
1996,Qtr 3,agosto,30,Beverages,Chai,Rattlesnake Canyon Grocery,$259
1996,Qtr 3,agosto,30,Beverages,Ipoh Coffee,Rattlesnake Canyon Grocery,$552
1996,Qtr 3,agosto,30,Beverages,Rhönbräu Klosterbier,Rattlesnake Canyon Grocery,$37
1996,Qtr 3,septiembre,2,Grains/Cereals,Gnocchi di nonna Alice,Vins et alcools Chevalier,$122
1996,Qtr 3,septiembre,3,Dairy Products,Gudbrandsdalsost,LILA-Supermercado,$432
1996,Qtr 3,septiembre,3,Confections,Pavlova,LILA-Supermercado,$417
1996,Qtr 3,septiembre,3,Dairy Products,Queso Cabrales,LILA-Supermercado,$202
1996,Qtr 3,septiembre,4,Beverages,Chartreuse verte,Blondesddsl père et fils,$864
1996,Qtr 3,septiembre,4,Dairy Products,Mozzarella di Giovanni,Blondesddsl père et fils,$556
1996,Qtr 3,septiembre,5,Beverages,Chang,Hungry Owl All-Night Grocers,$608
1996,Qtr 3,septiembre,5,Seafood,Inlagd Sill,Hungry Owl All-Night Grocers,$456
1996,Qtr 3,septiembre,5,Dairy Products,Raclette Courdavault,Hungry Owl All-Night Grocers,$990
1996,Qtr 3,septiembre,5,Confections,Tarte au sucre,Hungry Owl All-Night Grocers,$591
1996,Qtr 3,septiembre,6,Beverages,Outback Lager,Ricardo Adocicados,$240
1996,Qtr 3,septiembre,6,Confections,Teatime Chocolate Biscuits,Ricardo Adocicados,$110
1996,Qtr 3,septiembre,9,Seafood,Boston Crab Meat,Die Wandernde Kuh,$147
1996,Qtr 3,septiembre,9,Grains/Cereals,Gnocchi di nonna Alice,Die Wandernde Kuh,$608
1996,Qtr 3,septiembre,9,Condiments,Louisiana Hot Spiced Okra,Magazzini Alimentari Riuniti,$408
1996,Qtr 3,septiembre,9,Confections,Scottish Longbreads,Magazzini Alimentari Riuniti,$200
1996,Qtr 3,septiembre,10,Meat/Poultry,Alice Mutton,Suprêmes délices,$1248
1996,Qtr 3,septiembre,10,Beverages,Ipoh Coffee,Suprêmes délices,$442
1996,Qtr 3,septiembre,10,Produce,Rössle Sauerkraut,Suprêmes délices,$1019
1996,Qtr 3,septiembre,11,Seafood,Boston Crab Meat,Godos Cocina Típica,$529
1996,Qtr 3,septiembre,11,Condiments,Louisiana Fiery Hot Pepper Sauce,Godos Cocina Típica,$454
1996,Qtr 3,septiembre,11,Confections,Scottish Longbreads,Godos Cocina Típica,$135
1996,Qtr 3,septiembre,12,Dairy Products,Flotemysost,Tortuga Restaurante,$34
1996,Qtr 3,septiembre,12,Confections,Maxilaku,Tortuga Restaurante,$480
1996,Qtr 3,septiembre,12,Dairy Products,Raclette Courdavault,Tortuga Restaurante,$440
1996,Qtr 3,septiembre,13,Seafood,Carnarvon Tigers,Old World Delicatessen,$1125
1996,Qtr 3,septiembre,13,Beverages,Chartreuse verte,Old World Delicatessen,$389
1996,Qtr 3,septiembre,13,Meat/Poultry,Thüringer Rostbratwurst,Old World Delicatessen,$2228
1996,Qtr 3,septiembre,16,Seafood,Nord-Ost Matjeshering,Romero y tomillo,$207
1996,Qtr 3,septiembre,16,Meat/Poultry,Perth Pasties,Romero y tomillo,$262
1996,Qtr 3,septiembre,16,Meat/Poultry,Tourtière,Romero y tomillo,$30
1996,Qtr 3,septiembre,17,Confections,Scottish Longbreads,Lonesome Pine Restaurant,$30
1996,Qtr 3,septiembre,17,Confections,Tarte au sucre,Lonesome Pine Restaurant,$394
1996,Qtr 3,septiembre,18,Dairy Products,Gudbrandsdalsost,Ana Trujillo Emparedados y helados,$29
1996,Qtr 3,septiembre,18,Beverages,Outback Lager,Ana Trujillo Emparedados y helados,$60
1996,Qtr 3,septiembre,19,Condiments,Chef Anton's Cajun Seasoning,Hungry Owl All-Night Grocers,$352
1996,Qtr 3,septiembre,19,Dairy Products,Flotemysost,Hungry Owl All-Night Grocers,$52
1996,Qtr 3,septiembre,19,Condiments,Grandma's Boysenberry Spread,Hungry Owl All-Night Grocers,$600
1996,Qtr 3,septiembre,19,Beverages,Ipoh Coffee,Hungry Owl All-Night Grocers,$736
1996,Qtr 3,septiembre,19,Grains/Cereals,Singaporean Hokkien Fried Mee,Hungry Owl All-Night Grocers,$22
1996,Qtr 3,septiembre,20,Dairy Products,Gudbrandsdalsost,Du monde entier,$202
1996,Qtr 3,septiembre,20,Confections,Pavlova,The Big Cheese,$139
1996,Qtr 3,septiembre,20,Grains/Cereals,Singaporean Hokkien Fried Mee,Du monde entier,$67
1996,Qtr 3,septiembre,20,Confections,Tarte au sucre,The Big Cheese,$197
1996,Qtr 3,septiembre,23,Beverages,Ipoh Coffee,Die Wandernde Kuh,$883
1996,Qtr 3,septiembre,23,Meat/Poultry,Perth Pasties,Die Wandernde Kuh,$524
1996,Qtr 3,septiembre,23,Beverages,Rhönbräu Klosterbier,Die Wandernde Kuh,$62
1996,Qtr 3,septiembre,23,Produce,Rössle Sauerkraut,Die Wandernde Kuh,$146
1996,Qtr 3,septiembre,24,Seafood,Inlagd Sill,QUICK-Stop,$182
1996,Qtr 3,septiembre,25,Seafood,Escargots de Bourgogne,Rattlesnake Canyon Grocery,$286
1996,Qtr 3,septiembre,25,Dairy Products,Mascarpone Fabioli,Rattlesnake Canyon Grocery,$922
1996,Qtr 3,septiembre,25,Confections,Tarte au sucre,Rattlesnake Canyon Grocery,$887
1996,Qtr 3,septiembre,26,Beverages,Outback Lager,Island Trading,$360
1996,Qtr 3,septiembre,26,Beverages,Sasquatch Ale,Island Trading,$157
1996,Qtr 3,septiembre,27,Seafood,Jack's New England Clam Chowder,Rattlesnake Canyon Grocery,$77
1996,Qtr 3,septiembre,27,Confections,Tarte au sucre,Rattlesnake Canyon Grocery,$2758
1996,Qtr 3,septiembre,30,Beverages,Chai,Lonesome Pine Restaurant,$288
1996,Qtr 4,octubre,1,Seafood,Jack's New England Clam Chowder,Island Trading,$154
1996,Qtr 4,octubre,1,Beverages,Lakkalikööri,Island Trading,$86
1996,Qtr 4,octubre,2,Meat/Poultry,Alice Mutton,Tortuga Restaurante,$250
1996,Qtr 4,octubre,2,Beverages,Lakkalikööri,Tortuga Restaurante,$432
1996,Qtr 4,octubre,2,Produce,Rössle Sauerkraut,Tortuga Restaurante,$510
1996,Qtr 4,octubre,3,Dairy Products,Flotemysost,Wartian Herkku,$516
1996,Qtr 4,octubre,3,Beverages,Steeleye Stout,Island Trading,$144
1996,Qtr 4,octubre,4,Grains/Cereals,Filo Mix,Pericles Comidas clásicas,$112
1996,Qtr 4,octubre,7,Beverages,Chartreuse verte,Königlich Essen,$58
1996,Qtr 4,octubre,7,Condiments,Genen Shouyu,Königlich Essen,$62
1996,Qtr 4,octubre,7,Confections,NuNuCa Nuß-Nougat-Creme,Königlich Essen,$45
1996,Qtr 4,octubre,8,Confections,Pavlova,Save-a-lot Markets,$248
1996,Qtr 4,octubre,8,Dairy Products,Raclette Courdavault,Save-a-lot Markets,$1496
1996,Qtr 4,octubre,8,Seafood,Spegesild,Save-a-lot Markets,$288
1996,Qtr 4,octubre,8,Beverages,Steeleye Stout,Save-a-lot Markets,$857
1996,Qtr 4,octubre,8,Condiments,Vegie-spread,Save-a-lot Markets,$2387
1996,Qtr 4,octubre,9,Dairy Products,Gorgonzola Telino,Königlich Essen,$40
1996,Qtr 4,octubre,9,Condiments,Grandma's Boysenberry Spread,Königlich Essen,$120
1996,Qtr 4,octubre,9,Seafood,Konbu,Königlich Essen,$58
1996,Qtr 4,octubre,9,Dairy Products,Mozzarella di Giovanni,Königlich Essen,$1112
1996,Qtr 4,octubre,9,Produce,Tofu,Königlich Essen,$167
1996,Qtr 4,octubre,10,Condiments,Chef Anton's Cajun Seasoning,Bólido Comidas preparadas,$422
1996,Qtr 4,octubre,10,Grains/Cereals,Ravioli Angelo,Bólido Comidas preparadas,$250
1996,Qtr 4,octubre,10,Beverages,Rhönbräu Klosterbier,Bólido Comidas preparadas,$310
1996,Qtr 4,octubre,11,Beverages,Chang,Folk och fä HB,$304
1996,Qtr 4,octubre,11,Seafood,Escargots de Bourgogne,Folk och fä HB,$254
1996,Qtr 4,octubre,11,Seafood,Nord-Ost Matjeshering,Folk och fä HB,$580
1996,Qtr 4,octubre,11,Dairy Products,Queso Cabrales,Folk och fä HB,$672
1996,Qtr 4,octubre,14,Condiments,Louisiana Fiery Hot Pepper Sauce,Furia Bacalhau e Frutos do Mar,$672
1996,Qtr 4,octubre,14,Dairy Products,Raclette Courdavault,Furia Bacalhau e Frutos do Mar,$396
1996,Qtr 4,octubre,14,Confections,Scottish Longbreads,Furia Bacalhau e Frutos do Mar,$100
1996,Qtr 4,octubre,15,Beverages,Côte de Blaye,Split Rail Beer & Ale,$4005
1996,Qtr 4,octubre,15,Grains/Cereals,Gnocchi di nonna Alice,Split Rail Beer & Ale,$347
1996,Qtr 4,octubre,15,Seafood,Nord-Ost Matjeshering,Split Rail Beer & Ale,$157
1996,Qtr 4,octubre,15,Confections,Teatime Chocolate Biscuits,Split Rail Beer & Ale,$69
1996,Qtr 4,octubre,16,Confections,Gumbär Gummibärchen,LILA-Supermercado,$1058
1996,Qtr 4,octubre,16,Dairy Products,Mozzarella di Giovanni,LILA-Supermercado,$591
1996,Qtr 4,octubre,16,Meat/Poultry,Tourtière,Bon app',$89
1996,Qtr 4,octubre,17,Seafood,Carnarvon Tigers,Mère Paillarde,$1600
1996,Qtr 4,octubre,17,Grains/Cereals,Singaporean Hokkien Fried Mee,Mère Paillarde,$90
1996,Qtr 4,octubre,17,Confections,Zaanse koeken,Mère Paillarde,$97
1996,Qtr 4,octubre,18,Dairy Products,Flotemysost,Wartian Herkku,$619
1996,Qtr 4,octubre,18,Confections,Sir Rodney's Scones,Wartian Herkku,$72
1996,Qtr 4,octubre,18,Produce,Tofu,Wartian Herkku,$186
1996,Qtr 4,octubre,21,Grains/Cereals,Filo Mix,Victuailles en stock,$45
1996,Qtr 4,octubre,21,Confections,Scottish Longbreads,Victuailles en stock,$100
1996,Qtr 4,octubre,22,Beverages,Chang,Hungry Owl All-Night Grocers,$85
1996,Qtr 4,octubre,22,Dairy Products,Gorgonzola Telino,Hungry Owl All-Night Grocers,$200
1996,Qtr 4,octubre,22,Produce,Manjimup Dried Apples,Hungry Owl All-Night Grocers,$1628
1996,Qtr 4,octubre,22,Dairy Products,Mascarpone Fabioli,Hungry Owl All-Night Grocers,$123
1996,Qtr 4,octubre,23,Condiments,Chef Anton's Cajun Seasoning,Princesa Isabel Vinhos,$285
1996,Qtr 4,octubre,24,Seafood,Gravad lax,Frankenversand,$582
1996,Qtr 4,octubre,24,Confections,Gumbär Gummibärchen,Frankenversand,$598
1996,Qtr 4,octubre,24,Seafood,Inlagd Sill,Frankenversand,$304
1996,Qtr 4,octubre,24,Dairy Products,Mozzarella di Giovanni,Frankenversand,$695
1996,Qtr 4,octubre,24,Grains/Cereals,Tunnbröd,Frankenversand,$288
1996,Qtr 4,octubre,25,Meat/Poultry,Alice Mutton,Old World Delicatessen,$624
1996,Qtr 4,octubre,25,Seafood,Nord-Ost Matjeshering,Old World Delicatessen,$311
1996,Qtr 4,octubre,28,Meat/Poultry,Alice Mutton,Mère Paillarde,$2075
1996,Qtr 4,octubre,28,Condiments,Chef Anton's Cajun Seasoning,Mère Paillarde,$176
1996,Qtr 4,octubre,28,Confections,Tarte au sucre,Mère Paillarde,$1103
1996,Qtr 4,octubre,29,Seafood,Carnarvon Tigers,Bon app',$950
1996,Qtr 4,octubre,29,Dairy Products,Geitost,Simons bistro,$16
1996,Qtr 4,octubre,29,Beverages,Ipoh Coffee,Bon app',$1398
1996,Qtr 4,octubre,29,Seafood,Jack's New England Clam Chowder,Bon app',$88
1996,Qtr 4,octubre,29,Dairy Products,Raclette Courdavault,Simons bistro,$337
1996,Qtr 4,octubre,30,Beverages,Chang,Frankenversand,$292
1996,Qtr 4,octubre,30,Dairy Products,Gorgonzola Telino,Frankenversand,$448
1996,Qtr 4,octubre,30,Seafood,Inlagd Sill,Frankenversand,$486
1996,Qtr 4,octubre,30,Meat/Poultry,Pâté chinois,Frankenversand,$614
1996,Qtr 4,octubre,31,Beverages,Lakkalikööri,Lehmanns Marktstand,$216
1996,Qtr 4,octubre,31,Confections,Scottish Longbreads,Lehmanns Marktstand,$38
1996,Qtr 4,octubre,31,Grains/Cereals,Wimmers gute Semmelknödel,Lehmanns Marktstand,$1330
1996,Qtr 4,noviembre,1,Condiments,Chef Anton's Cajun Seasoning,White Clover Markets,$616
1996,Qtr 4,noviembre,1,Condiments,Northwoods Cranberry Sauce,White Clover Markets,$1680
1996,Qtr 4,noviembre,4,Condiments,Northwoods Cranberry Sauce,QUICK-Stop,$2240
1996,Qtr 4,noviembre,4,Grains/Cereals,Singaporean Hokkien Fried Mee,QUICK-Stop,$101
1996,Qtr 4,noviembre,4,Confections,Teatime Chocolate Biscuits,QUICK-Stop,$584
1996,Qtr 4,noviembre,5,Meat/Poultry,Alice Mutton,Rattlesnake Canyon Grocery,$1011
1996,Qtr 4,noviembre,5,Grains/Cereals,Gnocchi di nonna Alice,Rattlesnake Canyon Grocery,$608
1996,Qtr 4,noviembre,6,Seafood,Boston Crab Meat,Familia Arquibaldo,$59
1996,Qtr 4,noviembre,6,Beverages,Chartreuse verte,Familia Arquibaldo,$612
1996,Qtr 4,noviembre,6,Confections,NuNuCa Nuß-Nougat-Creme,Familia Arquibaldo,$112
1996,Qtr 4,noviembre,6,Beverages,Rhönbräu Klosterbier,Familia Arquibaldo,$32
1996,Qtr 4,noviembre,7,Beverages,Chai,Die Wandernde Kuh,$184
1996,Qtr 4,noviembre,7,Grains/Cereals,Tunnbröd,Die Wandernde Kuh,$180
1996,Qtr 4,noviembre,8,Meat/Poultry,Tourtière,Split Rail Beer & Ale,$142
1996,Qtr 4,noviembre,11,Beverages,Côte de Blaye,Ernst Handel,$4005
1996,Qtr 4,noviembre,11,Dairy Products,Gudbrandsdalsost,La maison d'Asie,$467
1996,Qtr 4,noviembre,11,Condiments,Gula Malacca,Ernst Handel,$1134
1996,Qtr 4,noviembre,11,Seafood,Jack's New England Clam Chowder,Ernst Handel,$100
1996,Qtr 4,noviembre,11,Condiments,Louisiana Fiery Hot Pepper Sauce,Ernst Handel,$160
1996,Qtr 4,noviembre,11,Confections,Valkoinen suklaa,La maison d'Asie,$176
1996,Qtr 4,noviembre,12,Beverages,Guaraná Fantástica,Furia Bacalhau e Frutos do Mar,$36
1996,Qtr 4,noviembre,12,Meat/Poultry,Tourtière,Furia Bacalhau e Frutos do Mar,$100
1996,Qtr 4,noviembre,13,Beverages,Côte de Blaye,Piccolo und mehr,$8432
1996,Qtr 4,noviembre,13,Dairy Products,Queso Cabrales,Piccolo und mehr,$161
1996,Qtr 4,noviembre,14,Beverages,Chai,Pericles Comidas clásicas,$173
1996,Qtr 4,noviembre,14,Meat/Poultry,Thüringer Rostbratwurst,Pericles Comidas clásicas,$396
1996,Qtr 4,noviembre,15,Beverages,Guaraná Fantástica,Around the Horn,$90
1996,Qtr 4,noviembre,15,Grains/Cereals,Ravioli Angelo,Around the Horn,$390
1996,Qtr 4,noviembre,18,Dairy Products,Gorgonzola Telino,Die Wandernde Kuh,$300
1996,Qtr 4,noviembre,18,Dairy Products,Gudbrandsdalsost,Die Wandernde Kuh,$576
1996,Qtr 4,noviembre,18,Meat/Poultry,Pâté chinois,Die Wandernde Kuh,$230
1996,Qtr 4,noviembre,19,Dairy Products,Camembert Pierrot,LILA-Supermercado,$174
1996,Qtr 4,noviembre,19,Confections,Gumbär Gummibärchen,LILA-Supermercado,$398
1996,Qtr 4,noviembre,19,Seafood,Ikura,LILA-Supermercado,$595
1996,Qtr 4,noviembre,20,Beverages,Guaraná Fantástica,La maison d'Asie,$34
1996,Qtr 4,noviembre,20,Seafood,Inlagd Sill,La maison d'Asie,$289
1996,Qtr 4,noviembre,20,Beverages,Sasquatch Ale,La maison d'Asie,$106
1996,Qtr 4,noviembre,21,Dairy Products,Camembert Pierrot,Seven Seas Imports,$2067
1996,Qtr 4,noviembre,21,Dairy Products,Gorgonzola Telino,Seven Seas Imports,$665
1996,Qtr 4,noviembre,21,Confections,Pavlova,Seven Seas Imports,$739
1996,Qtr 4,noviembre,22,Dairy Products,Camembert Pierrot,QUICK-Stop,$1346
1996,Qtr 4,noviembre,22,Beverages,Chartreuse verte,QUICK-Stop,$700
1996,Qtr 4,noviembre,22,Beverages,Côte de Blaye,Blondesddsl père et fils,$2108
